rank,country,score,gdp,social_support,life_expectancy,freedom,generosity,corruption
39,Trinidad & Tobago,6.19,1.23,1.48,0.71,0.49,0.18,0.02
40,Poland,6.18,1.21,1.44,0.88,0.48,0.12,0.05
41,Uzbekistan,6.17,0.74,1.53,0.76,0.63,0.32,0.24
42,Lithuania,6.15,1.24,1.52,0.82,0.29,0.04,0.04
43,Colombia,6.12,0.98,1.41,0.84,0.47,0.1,0.03
44,Slovenia,6.12,1.26,1.52,0.95,0.56,0.14,0.06
45,Nicaragua,6.1,0.69,1.32,0.84,0.44,0.2,0.13
46,Kosovo,6.1,0.88,1.23,0.76,0.49,0.26,0.01
47,Argentina,6.09,1.09,1.43,0.88,0.47,0.07,0.05
48,Romania,6.07,1.16,1.23,0.82,0.46,0.08,0.0
49,Cyprus,6.05,1.26,1.22,1.04,0.41,0.19,0.04
50,Ecuador,6.03,0.91,1.31,0.87,0.5,0.13,0.09
51,Kuwait,6.02,1.5,1.32,0.81,0.49,0.14,0.1
52,Thailand,6.01,1.05,1.41,0.83,0.56,0.36,0.03
53,Latvia,5.94,1.19,1.46,0.81,0.26,0.08,0.06
54,South Korea,5.9,1.3,1.22,1.04,0.16,0.18,0.06
55,Estonia,5.89,1.24,1.53,0.87,0.5,0.1,0.16
56,Jamaica,5.89,0.83,1.48,0.83,0.49,0.11,0.03
57,Mauritius,5.89,1.12,1.4,0.8,0.5,0.22,0.06
58,Japan,5.89,1.33,1.42,1.09,0.44,0.07,0.14
59,Honduras,5.86,0.64,1.24,0.83,0.51,0.25,0.08
60,Kazakhstan,5.81,1.17,1.51,0.73,0.41,0.15,0.1
61,Bolivia,5.78,0.78,1.21,0.71,0.51,0.14,0.06
62,Hungary,5.76,1.2,1.41,0.83,0.2,0.08,0.02
63,Paraguay,5.74,0.86,1.48,0.78,0.51,0.18,0.08
64,Northern Cyprus,5.72,1.26,1.25,1.04,0.42,0.19,0.16
65,Peru,5.7,0.96,1.27,0.85,0.46,0.08,0.03
66,Portugal,5.69,1.22,1.43,1.0,0.51,0.05,0.02
67,Pakistan,5.65,0.68,0.89,0.54,0.31,0.22,0.1
68,Russia,5.65,1.18,1.45,0.73,0.33,0.08,0.03
69,Philippines,5.63,0.81,1.29,0.66,0.56,0.12,0.11
70,Serbia,5.6,1.0,1.38,0.85,0.28,0.14,0.04
71,Moldova,5.53,0.68,1.33,0.74,0.24,0.18,0.0
72,Libya,5.52,1.04,1.3,0.67,0.42,0.13,0.15
73,Montenegro,5.52,1.05,1.36,0.87,0.2,0.14,0.08
74,Tajikistan,5.47,0.49,1.1,0.72,0.39,0.23,0.14
75,Croatia,5.43,1.16,1.27,0.91,0.3,0.12,0.02
76,Hong Kong,5.43,1.44,1.28,1.12,0.44,0.26,0.29
77,Dominican Republic,5.42,1.01,1.4,0.78,0.5,0.11,0.1
78,Bosnia and Herzegovina,5.39,0.94,1.21,0.84,0.21,0.26,0.01
79,Turkey,5.37,1.18,1.36,0.81,0.2,0.08,0.11
80,Malaysia,5.34,1.22,1.17,0.83,0.51,0.26,0.02
81,Belarus,5.32,1.07,1.46,0.79,0.24,0.09,0.14
82,Greece,5.29,1.18,1.16,1.0,0.07,0.0,0.03
83,Mongolia,5.28,0.95,1.53,0.67,0.32,0.24,0.04
84,North Macedonia,5.27,0.98,1.29,0.84,0.34,0.18,0.03
85,Nigeria,5.26,0.7,1.11,0.24,0.43,0.22,0.04
86,Kyrgyzstan,5.26,0.55,1.44,0.72,0.51,0.3,0.02
87,Turkmenistan,5.25,1.05,1.54,0.66,0.39,0.24,0.03
88,Algeria,5.21,1.0,1.16,0.78,0.09,0.07,0.11
89,Morocco,5.21,0.8,0.78,0.78,0.42,0.04,0.08
90,Azerbaijan,5.21,1.04,1.15,0.77,0.35,0.04,0.18
91,Lebanon,5.2,0.99,1.22,0.82,0.22,0.17,0.03
92,Indonesia,5.19,0.93,1.2,0.66,0.49,0.5,0.03
93,China,5.19,1.03,1.12,0.89,0.52,0.06,0.1
94,Vietnam,5.18,0.74,1.35,0.85,0.54,0.15,0.07
95,Bhutan,5.08,0.81,1.32,0.6,0.46,0.37,0.17
96,Cameroon,5.04,0.55,0.91,0.33,0.38,0.19,0.04
97,Bulgaria,5.01,1.09,1.51,0.82,0.31,0.08,0.0
98,Ghana,5.0,0.61,0.87,0.49,0.38,0.24,0.04
99,Ivory Coast,4.94,0.57,0.81,0.23,0.35,0.15,0.09
100,Nepal,4.91,0.45,1.23,0.68,0.44,0.28,0.09
101,Jordan,4.91,0.84,1.23,0.82,0.38,0.11,0.13
102,Benin,4.88,0.39,0.44,0.4,0.35,0.18,0.08
103,Congo (Brazzaville),4.81,0.67,0.8,0.51,0.37,0.1,0.09
104,Gabon,4.8,1.06,1.18,0.57,0.3,0.04,0.06
105,Laos,4.8,0.76,1.03,0.55,0.55,0.27,0.16
106,South Africa,4.72,0.96,1.35,0.47,0.39,0.13,0.06
107,Albania,4.72,0.95,0.85,0.87,0.38,0.18,0.03
108,Venezuela,4.71,0.96,1.43,0.8,0.15,0.06,0.05
109,Cambodia,4.7,0.57,1.12,0.64,0.61,0.23,0.06
110,Palestinian Territories,4.7,0.66,1.25,0.67,0.22,0.1,0.07
111,Senegal,4.68,0.45,1.13,0.57,0.29,0.15,0.07
112,Somalia,4.67,0.0,0.7,0.27,0.56,0.24,0.27
113,Namibia,4.64,0.88,1.31,0.48,0.4,0.07,0.06
114,Niger,4.63,0.14,0.77,0.37,0.32,0.19,0.1
115,Burkina Faso,4.59,0.33,1.06,0.38,0.26,0.18,0.11
116,Armenia,4.56,0.85,1.06,0.82,0.28,0.1,0.06
117,Iran,4.55,1.1,0.84,0.78,0.3,0.27,0.12
118,Guinea,4.53,0.38,0.83,0.38,0.33,0.21,0.09
119,Georgia,4.52,0.89,0.67,0.75,0.35,0.04,0.16
120,Gambia,4.52,0.31,0.94,0.43,0.38,0.27,0.17
121,Kenya,4.51,0.51,0.98,0.58,0.43,0.37,0.05
122,Mauritania,4.49,0.57,1.17,0.49,0.07,0.11,0.09
123,Mozambique,4.47,0.2,0.99,0.39,0.49,0.2,0.14
124,Tunisia,4.46,0.92,1.0,0.82,0.17,0.06,0.06
125,Bangladesh,4.46,0.56,0.93,0.72,0.53,0.17,0.14
126,Iraq,4.44,1.04,0.98,0.57,0.24,0.15,0.09
127,Congo (Kinshasa),4.42,0.09,1.12,0.36,0.27,0.21,0.05
128,Mali,4.39,0.38,1.1,0.31,0.33,0.15,0.05
129,Sierra Leone,4.37,0.27,0.84,0.24,0.31,0.25,0.04
130,Sri Lanka,4.37,0.95,1.26,0.83,0.47,0.24,0.05
131,Myanmar,4.36,0.71,1.18,0.56,0.52,0.57,0.17
132,Chad,4.35,0.35,0.77,0.19,0.17,0.2,0.08
133,Ukraine,4.33,0.82,1.39,0.74,0.18,0.19,0.01
134,Ethiopia,4.29,0.34,1.03,0.53,0.34,0.21,0.1
135,Swaziland,4.21,0.81,1.15,0.0,0.31,0.07,0.14
136,Uganda,4.19,0.33,1.07,0.44,0.36,0.25,0.06
137,Egypt,4.17,0.91,1.04,0.64,0.24,0.08,0.07
138,Zambia,4.11,0.58,1.06,0.43,0.43,0.25,0.09
139,Togo,4.08,0.28,0.57,0.41,0.29,0.18,0.08
140,India,4.01,0.76,0.76,0.59,0.5,0.2,0.08
141,Liberia,3.98,0.07,0.92,0.44,0.37,0.23,0.03
142,Comoros,3.97,0.27,0.76,0.5,0.14,0.28,0.08
143,Madagascar,3.93,0.27,0.92,0.56,0.15,0.17,0.04
144,Lesotho,3.8,0.49,1.17,0.17,0.36,0.11,0.09
145,Burundi,3.78,0.05,0.45,0.38,0.22,0.18,0.18
146,Zimbabwe,3.66,0.37,1.11,0.43,0.36,0.15,0.09
147,Haiti,3.6,0.32,0.69,0.45,0.03,0.42,0.11
148,Botswana,3.49,1.04,1.14,0.54,0.46,0.02,0.1
149,Syria,3.46,0.62,0.38,0.44,0.01,0.33,0.14
150,Malawi,3.41,0.19,0.56,0.5,0.44,0.22,0.09
151,Yemen,3.38,0.29,1.16,0.46,0.14,0.11,0.08
152,Rwanda,3.33,0.36,0.71,0.61,0.56,0.22,0.41
153,Tanzania,3.23,0.48,0.88,0.5,0.42,0.28,0.15
154,Afghanistan,3.2,0.35,0.52,0.36,0.0,0.16,0.02
155,Central African Republic,3.08,0.03,0.0,0.1,0.22,0.24,0.04
156,South Sudan,2.85,0.31,0.57,0.3,0.01,0.2,0.09
