rank,country,score,gdp,social_support,life_expectancy,freedom,generosity,corruption
110,Iran,4.69,1.01,0.54,0.7,0.3,0.38,0.06
111,Ukraine,4.68,0.8,1.2,0.67,0.25,0.15,0.03
112,Iraq,4.68,0.99,0.82,0.6,0.0,0.18,0.14
113,South Africa,4.64,0.92,1.18,0.28,0.33,0.12,0.09
114,Ghana,4.63,0.55,0.68,0.4,0.42,0.23,0.04
115,Zimbabwe,4.61,0.27,1.03,0.33,0.26,0.19,0.08
116,Liberia,4.57,0.07,0.79,0.34,0.29,0.24,0.06
117,India,4.57,0.64,0.38,0.52,0.4,0.26,0.08
118,Sudan,4.55,0.52,1.01,0.37,0.1,0.19,0.15
119,Haiti,4.52,0.27,0.74,0.39,0.24,0.46,0.17
120,Congo (Kinshasa),4.52,0.0,1.0,0.1,0.23,0.25,0.08
121,Nepal,4.51,0.36,0.86,0.57,0.38,0.32,0.06
122,Ethiopia,4.51,0.19,0.6,0.44,0.43,0.24,0.15
123,Sierra Leone,4.51,0.33,0.96,0.0,0.41,0.21,0.09
124,Mauritania,4.44,0.45,0.87,0.36,0.24,0.22,0.17
125,Kenya,4.42,0.36,1.0,0.41,0.42,0.38,0.06
126,Djibouti,4.37,0.44,0.59,0.36,0.46,0.18,0.28
127,Armenia,4.35,0.77,0.78,0.73,0.2,0.08,0.04
128,Botswana,4.33,0.99,1.1,0.05,0.49,0.1,0.12
129,Myanmar,4.31,0.27,0.71,0.48,0.44,0.8,0.19
130,Georgia,4.3,0.74,0.39,0.73,0.41,0.06,0.38
131,Malawi,4.29,0.02,0.41,0.23,0.43,0.33,0.07
132,Sri Lanka,4.27,0.84,1.02,0.71,0.54,0.41,0.09
133,Cameroon,4.25,0.42,0.89,0.23,0.49,0.21,0.06
134,Bulgaria,4.22,1.01,1.11,0.77,0.31,0.12,0.01
135,Egypt,4.19,0.88,0.75,0.62,0.17,0.11,0.06
136,Yemen,4.08,0.55,0.68,0.4,0.36,0.09,0.08
137,Angola,4.03,0.76,0.86,0.17,0.1,0.12,0.07
138,Mali,4.0,0.26,1.04,0.21,0.39,0.19,0.12
139,Congo (Brazzaville),3.99,0.68,0.66,0.31,0.41,0.12,0.12
140,Comoros,3.96,0.24,0.79,0.36,0.23,0.17,0.2
141,Uganda,3.93,0.21,1.13,0.34,0.46,0.29,0.07
142,Senegal,3.9,0.36,0.98,0.44,0.37,0.21,0.11
143,Gabon,3.9,1.06,0.91,0.43,0.32,0.07,0.11
144,Niger,3.84,0.07,0.77,0.3,0.48,0.19,0.16
145,Cambodia,3.82,0.46,0.63,0.61,0.66,0.4,0.07
146,Tanzania,3.78,0.29,1.0,0.38,0.33,0.34,0.06
147,Madagascar,3.68,0.21,0.67,0.47,0.19,0.21,0.08
148,Central African Republic,3.68,0.08,0.0,0.07,0.49,0.24,0.08
149,Chad,3.67,0.34,0.76,0.15,0.24,0.18,0.05
150,Guinea,3.66,0.17,0.46,0.24,0.38,0.29,0.12
151,Ivory Coast,3.66,0.47,0.77,0.15,0.47,0.2,0.18
152,Burkina Faso,3.59,0.26,0.85,0.27,0.39,0.22,0.13
153,Afghanistan,3.58,0.32,0.3,0.3,0.23,0.37,0.1
154,Rwanda,3.46,0.22,0.77,0.43,0.59,0.23,0.55
155,Benin,3.34,0.29,0.35,0.32,0.48,0.18,0.08
156,Syria,3.01,0.66,0.47,0.72,0.16,0.47,0.19
157,Burundi,2.9,0.02,0.42,0.22,0.12,0.2,0.1
158,Togo,2.84,0.21,0.14,0.28,0.36,0.17,0.11
